"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T08 - Teoria del foc i agents extintors] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què causa més mortalitat en molts incendis?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La radiació visible de la flama exterior.</div><div style=""padding: 5px 0;""><b>B)</b> La carbonització directa de la fusta estructural.</div><div style=""padding: 5px 0;""><b>C)</b> La inhalació de fum i gasos tòxics.</div><div style=""padding: 5px 0;""><b>D)</b> La recollida posterior de l'aigua d'extinció.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) La inhalació de fum i gasos tòxics.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La flama i la calor són molt perilloses, però la inhalació de fum i gasos tòxics és clau en la mortalitat.</div></div>","T08_-_Teoria_del_foc_i_agents_extintors","15150"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T08 - Teoria del foc i agents extintors] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">En quines zones poden acumular-se els vapors més pesants que l’aire?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> En punts freds on el vapor queda fora del rang inflamable.</div><div style=""padding: 5px 0;""><b>B)</b> En capes elevades que es dispersen per convecció natural.</div><div style=""padding: 5px 0;""><b>C)</b> En zones superiors del sostre i punts alts del recinte.</div><div style=""padding: 5px 0;""><b>D)</b> En zones baixes, fosses, depressions o soterranis.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) En zones baixes, fosses, depressions o soterranis.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Els vapors més pesants tendeixen a descendir i acumular-se en zones baixes.</div></div>","T08_-_Teoria_del_foc_i_agents_extintors","15049"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T08 - Teoria del foc i agents extintors] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què caracteritza les escumes proteíniques?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Són d'origen sintètic i depenen dels tensioactius fluorats per formar pel·lícula.</div><div style=""padding: 5px 0;""><b>B)</b> Són concentrats pensats per treballar amb diversos coeficients d'expansió.</div><div style=""padding: 5px 0;""><b>C)</b> Estan formulades per actuar sobre combustibles polars miscibles amb aigua.</div><div style=""padding: 5px 0;""><b>D)</b> Tenen base de proteïnes animals hidrolitzades i una fluïdesa més lenta.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Tenen base de proteïnes animals hidrolitzades i una fluïdesa més lenta.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Les proteíniques destaquen per l'estabilitat i la resistència a la calor, però flueixen més lentament.</div></div>","T08_-_Teoria_del_foc_i_agents_extintors","15186"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T08 - Teoria del foc i agents extintors] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què forma el triangle del foc?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Comburent, sutge i CO.</div><div style=""padding: 5px 0;""><b>B)</b> Calor, CO₂ i vapor d’aigua.</div><div style=""padding: 5px 0;""><b>C)</b> Combustible, fum i flama.</div><div style=""padding: 5px 0;""><b>D)</b> Combustible, comburent i calor.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Combustible, comburent i calor.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Els tres elements són combustible, comburent i calor o energia d’activació.</div></div>","T08_-_Teoria_del_foc_i_agents_extintors","14982"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T08 - Teoria del foc i agents extintors] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Color típic d’una incompleta?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Taronja o groga, amb fum negre.</div><div style=""padding: 5px 0;""><b>B)</b> Blava i estable.</div><div style=""padding: 5px 0;""><b>C)</b> Blanca i transparent.</div><div style=""padding: 5px 0;""><b>D)</b> Sempre sense flama.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Taronja o groga, amb fum negre.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La flama groga o taronja i el fum negre indiquen combustió incompleta.</div></div>","T08_-_Teoria_del_foc_i_agents_extintors","14979"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T08 - Teoria del foc i agents extintors] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina limitació presenta la pols química seca en equips electrònics delicats?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Pot generar una pel·lícula fluorada persistent.</div><div style=""padding: 5px 0;""><b>B)</b> El residu pot comprometre el funcionament dels equips.</div><div style=""padding: 5px 0;""><b>C)</b> Pot formar una manta d'escuma incompatible amb el combustible.</div><div style=""padding: 5px 0;""><b>D)</b> Pot provocar una reducció sobtada de l'oxigen ambiental.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) El residu pot comprometre el funcionament dels equips.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El residu de pols pot afectar ordinadors, sales de control i equips sensibles.</div></div>","T08_-_Teoria_del_foc_i_agents_extintors","15218"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T08 - Teoria del foc i agents extintors] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què fa la capa carbonitzada de la fusta?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Actua com a aïllant tèrmic temporal.</div><div style=""padding: 5px 0;""><b>B)</b> Augmenta la temperatura dels gasos acumulats.</div><div style=""padding: 5px 0;""><b>C)</b> Elimina la necessitat de sobredimensionar.</div><div style=""padding: 5px 0;""><b>D)</b> Provoca el despreniment superficial de la peça.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Actua com a aïllant tèrmic temporal.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La capa carbonitzada protegeix l'interior de la peça durant un temps.</div></div>","T08_-_Teoria_del_foc_i_agents_extintors","15131"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T08 - Teoria del foc i agents extintors] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin efecte secundari té el vapor d'aigua?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Pot millorar la penetració en brases profundes.</div><div style=""padding: 5px 0;""><b>B)</b> Pot formar una capa estable sobre líquids inflamables.</div><div style=""padding: 5px 0;""><b>C)</b> Pot desplaçar l'oxigen i contribuir a la sufocació.</div><div style=""padding: 5px 0;""><b>D)</b> Pot augmentar l'adherència en superfícies verticals.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Pot desplaçar l'oxigen i contribuir a la sufocació.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Quan l'aigua vaporitza, el vapor ocupa molt volum i pot reduir l'oxigen disponible al voltant del foc.</div></div>","T08_-_Teoria_del_foc_i_agents_extintors","15168"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T08 - Teoria del foc i agents extintors] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quins mecanismes d'extinció té el CO2?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Inhibició química principal i formació de pel·lícula secundària.</div><div style=""padding: 5px 0;""><b>B)</b> Sufocació principal i refredament secundari pel canvi de fase.</div><div style=""padding: 5px 0;""><b>C)</b> Saponificació principal i sufocació secundària.</div><div style=""padding: 5px 0;""><b>D)</b> Adherència principal i neteja secundària.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Sufocació principal i refredament secundari pel canvi de fase.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El CO2 actua sobretot per sufocació i també pot refredar pel canvi de fase.</div></div>","T08_-_Teoria_del_foc_i_agents_extintors","15228"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T08 - Teoria del foc i agents extintors] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què caracteritza un incendi limitat pel combustible?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Hi ha una superfície de contacte massa petita per propagar-se.</div><div style=""padding: 5px 0;""><b>B)</b> Hi ha ventilació adequada i el foc depèn del combustible disponible.</div><div style=""padding: 5px 0;""><b>C)</b> Hi ha manca d’oxigen i el foc queda en fase latent.</div><div style=""padding: 5px 0;""><b>D)</b> Hi ha molta humitat i el foc no genera gasos calents.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Hi ha ventilació adequada i el foc depèn del combustible disponible.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Amb aire fresc suficient, el comportament del foc queda condicionat sobretot pel combustible.</div></div>","T08_-_Teoria_del_foc_i_agents_extintors","15098"
