"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T13 - Hidràulica] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com aplica l’efecte Venturi un carburador?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> L’augment de pressió de l’estrenyiment impulsa el combustible.</div><div style=""padding: 5px 0;""><b>B)</b> La pressió atmosfèrica frena l’aire abans de barrejar-lo.</div><div style=""padding: 5px 0;""><b>C)</b> La baixa pressió de l’estrenyiment aspira el combustible.</div><div style=""padding: 5px 0;""><b>D)</b> La reducció de velocitat vaporitza el combustible dins el conducte.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) La baixa pressió de l’estrenyiment aspira el combustible.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> L’aire s’accelera al coll del carburador i la disminució de pressió permet aspirar el combustible.</div></div>","T13_-_Hidraulica","16722"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T13 - Hidràulica] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina funció de filtratge té la vàlvula de peu o pinya?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Separar l’aire dissolt de l’aigua.</div><div style=""padding: 5px 0;""><b>B)</b> Eliminar les pèrdues de càrrega del manegot.</div><div style=""padding: 5px 0;""><b>C)</b> Reduir la pressió de vapor del líquid.</div><div style=""padding: 5px 0;""><b>D)</b> Evitar que entrin objectes a la bomba.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Evitar que entrin objectes a la bomba.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La reixeta reté elements que podrien obstruir o danyar la bomba.</div></div>","T13_-_Hidraulica","16883"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T13 - Hidràulica] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com són les pèrdues de càrrega de les mànegues de 45 mm respecte de les de 25 mm?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Són sensiblement més grans.</div><div style=""padding: 5px 0;""><b>B)</b> Són sensiblement menors.</div><div style=""padding: 5px 0;""><b>C)</b> Desapareixen quan augmenta el cabal.</div><div style=""padding: 5px 0;""><b>D)</b> Són exactament iguals.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Són sensiblement menors.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La secció més gran redueix la velocitat necessària per transportar el mateix cabal i disminueix el fregament.</div></div>","T13_-_Hidraulica","16861"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T13 - Hidràulica] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com s’obté l’equació de Bernoulli expressada en dimensions de pressió?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Dividint l’energia total del fluid per la seva massa.</div><div style=""padding: 5px 0;""><b>B)</b> Dividint l’energia total del fluid pel seu volum.</div><div style=""padding: 5px 0;""><b>C)</b> Multiplicant l’energia total del fluid per la seva densitat.</div><div style=""padding: 5px 0;""><b>D)</b> Multiplicant l’energia total del fluid pel seu volum.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Dividint l’energia total del fluid pel seu volum.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> En dividir cada terme energètic pel volum, les tres components queden expressades en pascals.</div></div>","T13_-_Hidraulica","16708"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T13 - Hidràulica] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Per a quins fluids és especialment adequada una bomba peristàltica?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Per a líquids agressius, corrosius o perillosos.</div><div style=""padding: 5px 0;""><b>B)</b> Per a aigua neta impulsada a grans cabals i baixa pressió.</div><div style=""padding: 5px 0;""><b>C)</b> Per a líquids que necessiten contacte amb elements metàl·lics.</div><div style=""padding: 5px 0;""><b>D)</b> Per a fluids que requereixen una voluta de gran diàmetre.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Per a líquids agressius, corrosius o perillosos.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La mànega separa el líquid de la resta de la bomba i facilita el treball amb productes que podrien atacar-ne els components.</div></div>","T13_-_Hidraulica","16775"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T13 - Hidràulica] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què caracteritza el flux turbulent?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Una velocitat elevada, amb remolins i moviment desordenat.</div><div style=""padding: 5px 0;""><b>B)</b> Una velocitat baixa, amb capes paral·leles sense barreja.</div><div style=""padding: 5px 0;""><b>C)</b> Un moviment per gravetat sense impuls mecànic.</div><div style=""padding: 5px 0;""><b>D)</b> Una pressió constant, sense dissipació d’energia.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Una velocitat elevada, amb remolins i moviment desordenat.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La turbulència trenca l’ordre de les trajectòries i genera remolins i barreja entre les partícules.</div></div>","T13_-_Hidraulica","16685"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T13 - Hidràulica] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quins elements controlen habitualment l’entrada i la sortida d’una bomba alternativa?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Vàlvules antiretorn.</div><div style=""padding: 5px 0;""><b>B)</b> Àleps radials.</div><div style=""padding: 5px 0;""><b>C)</b> Rodets peristàltics.</div><div style=""padding: 5px 0;""><b>D)</b> Paletes centrífugues.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Vàlvules antiretorn.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Les vàlvules antiretorn obliguen el fluid a circular en el sentit correcte durant cada fase del cicle.</div></div>","T13_-_Hidraulica","16779"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T13 - Hidràulica] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Per què el con d’atac absorbeix més calor que un raig tens?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Perquè concentra tota l’aigua en una secció menor.</div><div style=""padding: 5px 0;""><b>B)</b> Perquè augmenta la distància de projecció.</div><div style=""padding: 5px 0;""><b>C)</b> Perquè redueix el nombre de gotes formades.</div><div style=""padding: 5px 0;""><b>D)</b> Perquè distribueix l’aigua sobre una superfície més gran.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Perquè distribueix l’aigua sobre una superfície més gran.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La dispersió incrementa la superfície total de contacte entre l’aigua calenta i l’ambient de l’incendi.</div></div>","T13_-_Hidraulica","16896"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T13 - Hidràulica] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com afecta el moviment de l’aigua a l’altura màxima d’aspiració?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> En redueix el valor perquè una part de l’energia es transforma en energia cinètica.</div><div style=""padding: 5px 0;""><b>B)</b> L’augmenta perquè la velocitat s’afegeix a l’efecte de la pressió atmosfèrica.</div><div style=""padding: 5px 0;""><b>C)</b> No la modifica, ja que la incompressibilitat conserva tota l’energia disponible.</div><div style=""padding: 5px 0;""><b>D)</b> L’augmenta perquè la pressió dinàmica compensa les pèrdues de càrrega.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) En redueix el valor perquè una part de l’energia es transforma en energia cinètica.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> En una aspiració real cal accelerar l’aigua, de manera que no tota l’energia disponible es pot dedicar a guanyar altura.</div></div>","T13_-_Hidraulica","16736"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T13 - Hidràulica] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com es defineix la densitat d’un fluid?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Com el volum ocupat per unitat de massa, en m³/kg.</div><div style=""padding: 5px 0;""><b>B)</b> Com la resistència interna al moviment, en pascals segon.</div><div style=""padding: 5px 0;""><b>C)</b> Com la força exercida per unitat de superfície, en pascals.</div><div style=""padding: 5px 0;""><b>D)</b> Com la massa per unitat de volum, en kg/m³ o g/cm³.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Com la massa per unitat de volum, en kg/m³ o g/cm³.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La densitat relaciona la massa continguda amb el volum que ocupa el fluid.</div></div>","T13_-_Hidraulica","16636"
