"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T25 - Intervenció bàsica en incendis forestals] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què condiciona la selecció de la maniobra d’extinció forestal?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La numeració dels sectors.</div><div style=""padding: 5px 0;""><b>B)</b> La durada dels relleus.</div><div style=""padding: 5px 0;""><b>C)</b> L’eficàcia i la seguretat.</div><div style=""padding: 5px 0;""><b>D)</b> El nombre de comunicacions.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) L’eficàcia i la seguretat.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Una maniobra adequada ha de permetre actuar amb eficàcia sense comprometre la seguretat operativa.</div></div>","T25_-_Intervencio_basica_en_incendis_forestals","19347"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T25 - Intervenció bàsica en incendis forestals] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quins factors poden provocar canvis bruscos en el comportament d’un incendi de vegetació?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La sectorització, els recursos i el comandament.</div><div style=""padding: 5px 0;""><b>B)</b> El perímetre, la superfície i la durada.</div><div style=""padding: 5px 0;""><b>C)</b> La humitat, els accessos i els relleus.</div><div style=""padding: 5px 0;""><b>D)</b> El vent, la topografia i l’alineació de forces.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) El vent, la topografia i l’alineació de forces.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El vent, el relleu i l’alineació de forces poden modificar ràpidament la propagació i generar un escenari molt diferent en pocs instants.</div></div>","T25_-_Intervencio_basica_en_incendis_forestals","19475"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T25 - Intervenció bàsica en incendis forestals] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin efecte pot tenir el downdraft sobre el perímetre?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Concentrar-lo al cap de l’incendi.</div><div style=""padding: 5px 0;""><b>B)</b> Reduir-lo de manera progressiva.</div><div style=""padding: 5px 0;""><b>C)</b> Ampliar-lo sobtadament en qualsevol direcció.</div><div style=""padding: 5px 0;""><b>D)</b> Desplaçar-lo únicament pendent avall.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Ampliar-lo sobtadament en qualsevol direcció.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Els vents descendents poden expandir el foc de manera brusca i intensa en qualsevol direcció.</div></div>","T25_-_Intervencio_basica_en_incendis_forestals","19282"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T25 - Intervenció bàsica en incendis forestals] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què deixa exposat la maquinària pesada en obrir una línia de defensa en un incendi forestal?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Les arrels superficials.</div><div style=""padding: 5px 0;""><b>B)</b> La capa d’humus.</div><div style=""padding: 5px 0;""><b>C)</b> El sòl mineral.</div><div style=""padding: 5px 0;""><b>D)</b> La vegetació baixa.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) El sòl mineral.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> L’eliminació del combustible fins al sòl mineral crea una discontinuïtat que limita la propagació superficial.</div></div>","T25_-_Intervencio_basica_en_incendis_forestals","19394"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T25 - Intervenció bàsica en incendis forestals] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quan són molt útils els mitjats aeris en l'extinció d'incendis forestals?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Per frenar la propagació en zones inaccessibles.</div><div style=""padding: 5px 0;""><b>B)</b> En zones on estan emplaçats els vehicles.</div><div style=""padding: 5px 0;""><b>C)</b> Per a remullar i refrescar les brigades terrestres.</div><div style=""padding: 5px 0;""><b>D)</b> Quan a fer la rematada final de l'incendi.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Per a remullar i refrescar les brigades terrestres.</div></div>","T25_-_Intervencio_basica_en_incendis_forestals","19388"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T25 - Intervenció bàsica en incendis forestals] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com es prepara la línia d’aigua en la fase de protecció en la maniobra d'autoprotecció en un incendi de vegetació?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Amb una línia seca orientada cap al dipòsit de combustible.</div><div style=""padding: 5px 0;""><b>B)</b> Amb una línia de 70 mm estesa davant del vehicle.</div><div style=""padding: 5px 0;""><b>C)</b> Amb una línia de 25 mm pressuritzada i llança a l’ombra.</div><div style=""padding: 5px 0;""><b>D)</b> Amb una línia de 45 mm presuritzada i la llança a la cabina.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Amb una línia de 25 mm pressuritzada i llança a l’ombra.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La línia de 25 mm ha d’estar pressuritzada i preparada a la zona protegida per poder actuar de manera immediata.</div></div>","T25_-_Intervencio_basica_en_incendis_forestals","19527"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T25 - Intervenció bàsica en incendis forestals] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com és habitualment la càrrega de combustible en un incendi forestal?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Baixa i molt dispersa.</div><div style=""padding: 5px 0;""><b>B)</b> Alta i acumulada.</div><div style=""padding: 5px 0;""><b>C)</b> Moderada i concentrada en punts aïllats.</div><div style=""padding: 5px 0;""><b>D)</b> Escassa i limitada a vegetació herbàcia.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Alta i acumulada.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Les masses forestals poden acumular una càrrega elevada de combustible.</div></div>","T25_-_Intervencio_basica_en_incendis_forestals","19227"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T25 - Intervenció bàsica en incendis forestals] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quins són els tres factors principals del sistema CPS?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Combustible, topografia i intensitat.</div><div style=""padding: 5px 0;""><b>B)</b> Humitat, temperatura i fum.</div><div style=""padding: 5px 0;""><b>C)</b> Orientació, pendent i vent.</div><div style=""padding: 5px 0;""><b>D)</b> Radiació, convecció i superfície.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Orientació, pendent i vent.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El CPS analitza l’orientació, el pendent i el vent per valorar com poden afavorir l’avanç del foc.</div></div>","T25_-_Intervencio_basica_en_incendis_forestals","19320"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T25 - Intervenció bàsica en incendis forestals] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">En quines maniobres s’especialitzen els equips helitransportats en incendis forestals?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> En maniobres de sectorització.</div><div style=""padding: 5px 0;""><b>B)</b> En maniobres amb maquinària pesada.</div><div style=""padding: 5px 0;""><b>C)</b> En maniobres exclusivament defensives.</div><div style=""padding: 5px 0;""><b>D)</b> En maniobres d’atac directe.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) En maniobres d’atac directe.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La seva especialització permet intervenir ràpidament sobre punts concrets del foc, sovint coordinats amb descàrregues aèries.</div></div>","T25_-_Intervencio_basica_en_incendis_forestals","19429"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T25 - Intervenció bàsica en incendis forestals] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina diferència hi ha entre les etapes d’extinció i les fases d’estat d’un incendi forestal?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Les etapes descriuen què fan els equips; les fases indiquen com es troba el foc.</div><div style=""padding: 5px 0;""><b>B)</b> Les etapes indiquen la intensitat; les fases descriuen els recursos assignats.</div><div style=""padding: 5px 0;""><b>C)</b> Les etapes descriuen el perímetre; les fases indiquen l’estructura de comandament.</div><div style=""padding: 5px 0;""><b>D)</b> Les etapes classifiquen el combustible; les fases defineixen la maniobra.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Les etapes descriuen què fan els equips; les fases indiquen com es troba el foc.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Les etapes fan referència a les actuacions dels equips operatius, mentre que les fases defineixen l’estat en què es troba l’incendi en cada moment.</div></div>","T25_-_Intervencio_basica_en_incendis_forestals","19459"
