"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T18 - Vehicles d'intervenció mecànica] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina mesura és prioritària davant de cablejat elèctric durant l’ús d’una autoescala?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Apropar l’escala per reduir el recorregut.</div><div style=""padding: 5px 0;""><b>B)</b> Connectar el monitor d’aigua abans d’apropar-s’hi.</div><div style=""padding: 5px 0;""><b>C)</b> Utilitzar la cistella com a pantalla protectora.</div><div style=""padding: 5px 0;""><b>D)</b> Identificar-lo i mantenir-hi distàncies segures.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Identificar-lo i mantenir-hi distàncies segures.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El risc elèctric exigeix localitzar el cablejat i mantenir les distàncies de seguretat.</div></div>","T18_-_Vehicles_d_intervencio_mecanica","20832"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T18 - Vehicles d'intervenció mecànica] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Fins a quin nivell pot evolucionar el comandament desplegat amb els vehicles de comandament?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Fins a un CCA.</div><div style=""padding: 5px 0;""><b>B)</b> Fins a una UCM.</div><div style=""padding: 5px 0;""><b>C)</b> Fins a un CCB.</div><div style=""padding: 5px 0;""><b>D)</b> Fins a un SISCOM 2.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Fins a un CCA.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El dispositiu pot evolucionar des d’un primer punt de comandament fins a un Centre de Comandament Avançat.</div></div>","T18_-_Vehicles_d_intervencio_mecanica","20861"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T18 - Vehicles d'intervenció mecànica] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina és la funció principal d’una BUL?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Extinció i salvament general en entorns urbans.</div><div style=""padding: 5px 0;""><b>B)</b> Subministrament d’aigua a zones sense hidrants.</div><div style=""padding: 5px 0;""><b>C)</b> Extinció i salvament en entorns rurals i forestals.</div><div style=""padding: 5px 0;""><b>D)</b> Primera intervenció en entorns urbans densos.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Primera intervenció en entorns urbans densos.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La BUL està orientada a la primera intervenció en entorns urbans densos.</div></div>","T18_-_Vehicles_d_intervencio_mecanica","20770"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T18 - Vehicles d'intervenció mecànica] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">En quina maniobra cal extremar especialment la vigilància d’obstacles amb una autoescala?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> En l’estacionament amb motor aturat.</div><div style=""padding: 5px 0;""><b>B)</b> En la connexió del monitor d’aigua.</div><div style=""padding: 5px 0;""><b>C)</b> En l’extensió dels estabilitzadors.</div><div style=""padding: 5px 0;""><b>D)</b> En la marxa enrere.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) En la marxa enrere.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La llargada i el voladís de l’AEA fan especialment delicades les maniobres en espais estrets i la marxa enrere.</div></div>","T18_-_Vehicles_d_intervencio_mecanica","20828"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T18 - Vehicles d'intervenció mecànica] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin avantatge aporta el braç articulat d’una autoescala?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Facilitat d'emplaçament.</div><div style=""padding: 5px 0;""><b>B)</b> Millora la maniobrabilitat en entorns complexos.</div><div style=""padding: 5px 0;""><b>C)</b> Major llargada.</div><div style=""padding: 5px 0;""><b>D)</b> Redueix la necessitat d’estabilitzadors.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Millora la maniobrabilitat en entorns complexos.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Els trams articulats milloren la maniobrabilitat quan l’entorn presenta obstacles o geometries complexes.</div></div>","T18_-_Vehicles_d_intervencio_mecanica","20814"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T18 - Vehicles d'intervenció mecànica] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">D’on pot recollir aigua un helicòpter d’extinció?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> De cisternes sanitàries.</div><div style=""padding: 5px 0;""><b>B)</b> De dipòsits de vehicles de comandament.</div><div style=""padding: 5px 0;""><b>C)</b> De xarxes interiors d’edificis.</div><div style=""padding: 5px 0;""><b>D)</b> De bases, rius, piscines o dipòsits instal·lats.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) De bases, rius, piscines o dipòsits instal·lats.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Els helicòpters poden carregar aigua des de diferents punts disponibles, incloses helibases i dipòsits preparats.</div></div>","T18_-_Vehicles_d_intervencio_mecanica","20901"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T18 - Vehicles d'intervenció mecànica] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quins vehicles s’utilitzen habitualment per transportar personal operatiu?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Furgonetes o minibusos.</div><div style=""padding: 5px 0;""><b>B)</b> Ambulàncies o helicòpters.</div><div style=""padding: 5px 0;""><b>C)</b> Autoescales o grues.</div><div style=""padding: 5px 0;""><b>D)</b> Autobombes nodrissa.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Furgonetes o minibusos.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Les furgonetes o minibusos permeten traslladar bombers o equips especialitzats.</div></div>","T18_-_Vehicles_d_intervencio_mecanica","20885"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T18 - Vehicles d'intervenció mecànica] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin interval de capacitat d’aigua correspon a una BRP?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> 1.000–1.650 litres.</div><div style=""padding: 5px 0;""><b>B)</b> 3.000–4.000 litres.</div><div style=""padding: 5px 0;""><b>C)</b> 7.000–10.000 litres.</div><div style=""padding: 5px 0;""><b>D)</b> 4.500–6.000 litres.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) 3.000–4.000 litres.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La BRP disposa d’una capacitat d’aigua d’entre 3.000 i 4.000 litres.</div></div>","T18_-_Vehicles_d_intervencio_mecanica","20790"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T18 - Vehicles d'intervenció mecànica] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">A qui permet acostar-se ràpidament a l’escenari una UCL?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Al primer binomi d'intervenció.</div><div style=""padding: 5px 0;""><b>B)</b> A l’equip logístic de relleu.</div><div style=""padding: 5px 0;""><b>C)</b> Al primer comandament operatiu.</div><div style=""padding: 5px 0;""><b>D)</b> Al personal sanitari hospitalari.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Al primer comandament operatiu.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La UCL facilita l’arribada ràpida del primer comandament operatiu a l’escenari.</div></div>","T18_-_Vehicles_d_intervencio_mecanica","20864"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T18 - Vehicles d'intervenció mecànica] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin nivell d'equip de protecció individual pot portar un vehicle NRBQ?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Armilles de flotació d’alta visibilitat.</div><div style=""padding: 5px 0;""><b>B)</b> Vestits de protecció tipus 1.</div><div style=""padding: 5px 0;""><b>C)</b> Arnesos anticaigudes com a protecció principal.</div><div style=""padding: 5px 0;""><b>D)</b> Roba de protecció antitall.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Vestits de protecció tipus 1.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Els vehicles NRBQ poden portar EPI d’alt nivell, inclosos vestits de protecció tipus 1.</div></div>","T18_-_Vehicles_d_intervencio_mecanica","20847"
