"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T24 - Intervenció bàsica en incendis estructurals] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin tipus de salvament pot resultar difícil o impossible a partir de la planta 8 o superior?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> El salvament exterior per façana.</div><div style=""padding: 5px 0;""><b>B)</b> El salvament per escales interiors protegides.</div><div style=""padding: 5px 0;""><b>C)</b> El salvament mitjançant una ruta interior lliure de fums.</div><div style=""padding: 5px 0;""><b>D)</b> El salvament des d’una planta inferior no afectada.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) El salvament exterior per façana.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> A partir de la planta 8 l’alçada pot superar o limitar fortament les possibilitats de salvament exterior per façana.</div></div>","T24_-_Intervencio_basica_en_incendis_estructurals","21816"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T24 - Intervenció bàsica en incendis estructurals] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">En una recerca interior amb fum dens i visibilitat reduïda, quina forma de treball és coherent amb la seguretat de l’equip?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Desplaçar-se en binomi i mantenir punts de referència fixos durant la progressió.</div><div style=""padding: 5px 0;""><b>B)</b> Mantenir el binomi unit però progressar sense referències fixes si es disposa de càmera tèrmica.</div><div style=""padding: 5px 0;""><b>C)</b> Avançar per torns individuals mentre l’altre membre conserva la posició a l’entrada.</div><div style=""padding: 5px 0;""><b>D)</b> Separar els dos membres per ampliar la superfície revisada i retrobar-se al final de cada estança.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Desplaçar-se en binomi i mantenir punts de referència fixos durant la progressió.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La recerca en baixa visibilitat exigeix responsabilitat compartida i referències estables per assegurar l’orientació i la retirada.</div></div>","T24_-_Intervencio_basica_en_incendis_estructurals","21896"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T24 - Intervenció bàsica en incendis estructurals] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina aportació de seguretat és pròpia del treball en binomi durant una recerca?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Manté la traçabilitat, facilita detectar riscos i permet ajudar en una evacuació d’emergència.</div><div style=""padding: 5px 0;""><b>B)</b> Augmenta la superfície explorada perquè els dos membres poden separar-se en estances diferents.</div><div style=""padding: 5px 0;""><b>C)</b> Redueix la necessitat de punts de referència perquè un membre pot orientar l’altre a distància.</div><div style=""padding: 5px 0;""><b>D)</b> Permet prioritzar la velocitat de recerca encara que es perdi el contacte entre els membres.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Manté la traçabilitat, facilita detectar riscos i permet ajudar en una evacuació d’emergència.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El binomi afavoreix la supervisió mútua, la traçabilitat i una resposta immediata davant incidències.</div></div>","T24_-_Intervencio_basica_en_incendis_estructurals","21898"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T24 - Intervenció bàsica en incendis estructurals] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com es considera el mateix recinte on s’ha iniciat l’incendi?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> De probabilitat mitja, entre 6 i 10 minuts.</div><div style=""padding: 5px 0;""><b>B)</b> De probabilitat baixa, inferior a 6 minuts.</div><div style=""padding: 5px 0;""><b>C)</b> De probabilitat alta, superior a 10 minuts.</div><div style=""padding: 5px 0;""><b>D)</b> De probabilitat mínima, inferior al 5 %.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) De probabilitat mínima, inferior al 5 %.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El recinte d’origen és el més exposat als efectes del foc i es considera de probabilitat mínima, inferior al cinc per cent.</div></div>","T24_-_Intervencio_basica_en_incendis_estructurals","21892"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T24 - Intervenció bàsica en incendis estructurals] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin objectiu defineix una maniobra defensiva?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Reduir directament la intensitat de les flames des de l’exterior.</div><div style=""padding: 5px 0;""><b>B)</b> Evitar la propagació i protegir persones, estructures o béns vulnerables.</div><div style=""padding: 5px 0;""><b>C)</b> Aplicar aigua sobre el focus per preparar una entrada posterior.</div><div style=""padding: 5px 0;""><b>D)</b> Atacar el motor del foc des d’una posició interior pròxima.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Evitar la propagació i protegir persones, estructures o béns vulnerables.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Les maniobres defensives protegeixen dianes vulnerables i limiten l’extensió del foc o del fum.</div></div>","T24_-_Intervencio_basica_en_incendis_estructurals","21848"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T24 - Intervenció bàsica en incendis estructurals] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina referència pot establir-se en grans espais com aparcaments, grans superfícies o vaixells?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Una cortina bloquejadora del fum.</div><div style=""padding: 5px 0;""><b>B)</b> Un monitor fix al vehicle.</div><div style=""padding: 5px 0;""><b>C)</b> Una línia exterior de control de façana.</div><div style=""padding: 5px 0;""><b>D)</b> Un sistema de corda guia.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Un sistema de corda guia.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> En grans espais es poden instal·lar cordes guia per mantenir l’orientació i assegurar l’entrada i el retorn.</div></div>","T24_-_Intervencio_basica_en_incendis_estructurals","21907"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T24 - Intervenció bàsica en incendis estructurals] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Amb una línia de 25 mm, quin cabal genèric es pren com a referència?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Uns 250 l/min.</div><div style=""padding: 5px 0;""><b>B)</b> Uns 150 l/min.</div><div style=""padding: 5px 0;""><b>C)</b> Uns 600 l/min.</div><div style=""padding: 5px 0;""><b>D)</b> Uns 400 l/min.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Uns 250 l/min.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Com a referència genèrica, les línies de 25 mm aporten aproximadament 250 litres per minut.</div></div>","T24_-_Intervencio_basica_en_incendis_estructurals","21861"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T24 - Intervenció bàsica en incendis estructurals] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">En una zona amb indicis d’afectació estructural, quin control és més complet?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Avaluar l’estructura a l’arribada i mantenir després la comunicació del binomi interior sense una vigilància específica.</div><div style=""padding: 5px 0;""><b>B)</b> Destinar guaites a la vigilància i mantenir la valoració inicial sense revisar l’evolució de l’estructura.</div><div style=""padding: 5px 0;""><b>C)</b> Avaluar l’estructura i seguir-ne l’evolució, mantenint comunicació amb el cap d’intervenció i guaites.</div><div style=""padding: 5px 0;""><b>D)</b> Fer seguiment de l’estructura durant l’atac i transmetre incidències quan apareguin deformacions evidents.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Avaluar l’estructura i seguir-ne l’evolució, mantenint comunicació amb el cap d’intervenció i guaites.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La protecció davant el col·lapse exigeix combinar valoració tècnica continuada i vigilància coordinada.</div></div>","T24_-_Intervencio_basica_en_incendis_estructurals","21950"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T24 - Intervenció bàsica en incendis estructurals] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">En quin supòsit es pot autoritzar l’ús d’un ascensor durant una evacuació?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Quan permeti reduir el recorregut, encara que es desconegui l’estat de la instal·lació.</div><div style=""padding: 5px 0;""><b>B)</b> Quan els ocupants el facin servir habitualment i hi hagi fum a l’escala.</div><div style=""padding: 5px 0;""><b>C)</b> Quan es coneguin les condicions tècniques i l’estat de la instal·lació.</div><div style=""padding: 5px 0;""><b>D)</b> Quan la planta afectada sigui baixa i no s’hagi comprovat el funcionament elèctric.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Quan es coneguin les condicions tècniques i l’estat de la instal·lació.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> L’ascensor només pot considerar-se en evacuació quan el seu estat i les condicions tècniques són coneguts i segurs.</div></div>","T24_-_Intervencio_basica_en_incendis_estructurals","21821"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T24 - Intervenció bàsica en incendis estructurals] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin conjunt explica l’elevada complexitat potencial d’un incendi en un local comercial?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Gran càrrega de foc, materials combustibles poc diversos i presència de públic limitada a una zona concreta.</div><div style=""padding: 5px 0;""><b>B)</b> Càrrega de foc moderada, materials combustibles diversos i elevada subdivisió interior sense presència de públic.</div><div style=""padding: 5px 0;""><b>C)</b> Gran càrrega de foc, materials combustibles diversos i possible presència de públic.</div><div style=""padding: 5px 0;""><b>D)</b> Gran càrrega de foc, materials combustibles diversos i ocupació concentrada en àrees exteriors.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Gran càrrega de foc, materials combustibles diversos i possible presència de públic.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La combinació de càrrega combustible elevada, diversitat de materials i públic pot incrementar la intensitat i les necessitats d’evacuació.</div></div>","T24_-_Intervencio_basica_en_incendis_estructurals","21792"
