"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T20 - Equips de protecció individual (EPI)] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina funció tenen les vàlvules de seguretat del reductor de pressió?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Evitar l’entelament del visor facial.</div><div style=""padding: 5px 0;""><b>B)</b> Evitar moviments de l’ampolla a l’arnès.</div><div style=""padding: 5px 0;""><b>C)</b> Evitar sobrepressions en el sistema.</div><div style=""padding: 5px 0;""><b>D)</b> Evitar l’entrada d’aire contaminat per la màscara.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Evitar sobrepressions en el sistema.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Les vàlvules de seguretat protegeixen el circuit davant possibles sobrepressions.</div></div>","T20_-_Equips_de_proteccio_individual_EPI","21691"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T20 - Equips de protecció individual (EPI)] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">D’on rep l’aire segur una caputxa de rescat?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> D’una petita ampolla integrada a la caputxa.</div><div style=""padding: 5px 0;""><b>B)</b> D’una línia d’aire independent instal·lada a la zona.</div><div style=""padding: 5px 0;""><b>C)</b> D’un filtre que depura l’aire de l’atmosfera de la víctima.</div><div style=""padding: 5px 0;""><b>D)</b> De la connexió a l’ERA d’un bomber.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) De la connexió a l’ERA d’un bomber.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La caputxa rep aire segur mitjançant la connexió amb l’ERA del bomber.</div></div>","T20_-_Equips_de_proteccio_individual_EPI","21748"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T20 - Equips de protecció individual (EPI)] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin parell forma part dels elements obligatoris de cap i il·luminació de l’EPI pesant?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Casc d’intervenció pesant F1 i llanterna urbana.</div><div style=""padding: 5px 0;""><b>B)</b> Casc F2 i llanterna frontal.</div><div style=""padding: 5px 0;""><b>C)</b> Casc aquàtic i frontal estanc.</div><div style=""padding: 5px 0;""><b>D)</b> Caputxa química i llanterna antideflagrant.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Casc d’intervenció pesant F1 i llanterna urbana.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El nivell pesant incorpora casc F1 i llanterna urbana.</div></div>","T20_-_Equips_de_proteccio_individual_EPI","21656"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T20 - Equips de protecció individual (EPI)] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què indica el manòmetre d’un ERA?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La pressió restant de l’ampolla.</div><div style=""padding: 5px 0;""><b>B)</b> El cabal instantani que entra a la màscara.</div><div style=""padding: 5px 0;""><b>C)</b> La temperatura de l’aire de l’ampolla.</div><div style=""padding: 5px 0;""><b>D)</b> La pressió exterior de la zona d’intervenció.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) La pressió restant de l’ampolla.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El manòmetre permet saber quina pressió d’aire queda disponible.</div></div>","T20_-_Equips_de_proteccio_individual_EPI","21693"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T20 - Equips de protecció individual (EPI)] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quins guants formen part de l’equip obligatori de l’EPI lleuger?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Guants d’intervenció estructurals.</div><div style=""padding: 5px 0;""><b>B)</b> Guants d’intervenció forestals.</div><div style=""padding: 5px 0;""><b>C)</b> Guants de neoprè.</div><div style=""padding: 5px 0;""><b>D)</b> Guants químics de nitril de canya llarga.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Guants d’intervenció forestals.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Els guants d’intervenció forestals formen part dels elements obligatoris del nivell lleuger.</div></div>","T20_-_Equips_de_proteccio_individual_EPI","21648"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T20 - Equips de protecció individual (EPI)] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">En el marcatge d’un EPI, un escut amb tres sectors al voltant d’un cercle central identifica quina protecció?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Protecció davant de contaminació per partícules radioactives.</div><div style=""padding: 5px 0;""><b>B)</b> Protecció davant del contacte i les projeccions de productes químics.</div><div style=""padding: 5px 0;""><b>C)</b> Protecció davant de microorganismes i agents biològics.</div><div style=""padding: 5px 0;""><b>D)</b> Protecció davant de descàrregues i acumulació d’electricitat estàtica.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Protecció davant de contaminació per partícules radioactives.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El símbol de tres sectors al voltant d’un centre identifica la contaminació per partícules radioactives.</div></div>","T20_-_Equips_de_proteccio_individual_EPI","21606"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T20 - Equips de protecció individual (EPI)] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Per què una revisió deficient d’un EPI pot afectar més d’una persona?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Pot comprometre el bomber i el company que depèn d’ell.</div><div style=""padding: 5px 0;""><b>B)</b> Pot comprometre la seguretat del bomber, però no la dels companys.</div><div style=""padding: 5px 0;""><b>C)</b> Pot afectar el company, però no el bomber que porta l’equip.</div><div style=""padding: 5px 0;""><b>D)</b> Pot afectar la disponibilitat del material sense comprometre una maniobra.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Pot comprometre el bomber i el company que depèn d’ell.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La seguretat en una maniobra és compartida i un equip defectuós pot posar en risc més d’un bomber.</div></div>","T20_-_Equips_de_proteccio_individual_EPI","21769"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T20 - Equips de protecció individual (EPI)] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">En el marcatge d’un EPI, un escut amb una figura ramificada semblant a un cristall de gel identifica quina protecció?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Protecció davant de productes químics.</div><div style=""padding: 5px 0;""><b>B)</b> Protecció davant de calor i foc.</div><div style=""padding: 5px 0;""><b>C)</b> Protecció davant de microorganismes.</div><div style=""padding: 5px 0;""><b>D)</b> Protecció davant del fred.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Protecció davant del fred.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El símbol semblant a un cristall de gel identifica la funció de protecció davant del fred.</div></div>","T20_-_Equips_de_proteccio_individual_EPI","21602"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T20 - Equips de protecció individual (EPI)] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin tipus d’equip és la caputxa de rescat?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Un element de protecció respiratòria per a treball prolongat.</div><div style=""padding: 5px 0;""><b>B)</b> Un element de protecció respiratòria per a evacuació.</div><div style=""padding: 5px 0;""><b>C)</b> Un element de protecció respiratòria per al bomber durant l’extinció.</div><div style=""padding: 5px 0;""><b>D)</b> Un element de filtració de l’aire ambiental per a la víctima.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Un element de protecció respiratòria per a evacuació.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La seva funció és proporcionar protecció respiratòria temporal durant l’evacuació d’una víctima.</div></div>","T20_-_Equips_de_proteccio_individual_EPI","21753"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T20 - Equips de protecció individual (EPI)] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Un pictograma de vestit químic mostra dins d’un escut unes línies ondulades semblants a vapors, sense cap línia horitzontal que les travessi. A quin tipus correspon?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Vestit de protecció tipus 4.</div><div style=""padding: 5px 0;""><b>B)</b> Vestit de protecció tipus 6.</div><div style=""padding: 5px 0;""><b>C)</b> Vestit de protecció tipus 1.</div><div style=""padding: 5px 0;""><b>D)</b> Vestit de protecció tipus 2.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Vestit de protecció tipus 1.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El tipus 1 és hermètic a gasos o vapors i el seu pictograma representa aquest tipus d’exposició.</div></div>","T20_-_Equips_de_proteccio_individual_EPI","21667"
