"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T23 - Prevenció bàsica d'incendis] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina diferència essencial hi ha entre ventilació natural i ventilació forçada?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La natural aprofita la flotació dels gasos; la forçada utilitza equips mecànics d’aportació i extracció.</div><div style=""padding: 5px 0;""><b>B)</b> La natural combina obertures amb ventiladors; la forçada depèn de les diferències de temperatura.</div><div style=""padding: 5px 0;""><b>C)</b> La natural necessita conductes d’extracció; la forçada utilitza obertures de coberta i barreres de fum.</div><div style=""padding: 5px 0;""><b>D)</b> La natural utilitza depressió mecànica; la forçada aprofita la flotació dels gasos.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) La natural aprofita la flotació dels gasos; la forçada utilitza equips mecànics d’aportació i extracció.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El criteri diferenciador és l’origen del moviment dels fums: forces de flotació en la ventilació natural o equips mecànics en la forçada.</div></div>","T23_-_Prevencio_basica_d_incendis","19979"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T23 - Prevenció bàsica d'incendis] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quan pot superar-se el límit de 15 metres del recorregut des d’una escala protegida?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Quan el recorregut comunica amb un espai de maniobra.</div><div style=""padding: 5px 0;""><b>B)</b> Quan el recorregut es fa per un sector de risc mínim.</div><div style=""padding: 5px 0;""><b>C)</b> Quan l’edifici disposa d’una façana accessible.</div><div style=""padding: 5px 0;""><b>D)</b> Quan l’escala disposa de portes resistents al foc.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Quan el recorregut es fa per un sector de risc mínim.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> En aquest cas s’aplica el límit de recorregut propi del sector de risc mínim, que ofereix unes condicions específiques de seguretat.</div></div>","T23_-_Prevencio_basica_d_incendis","19916"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T23 - Prevenció bàsica d'incendis] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quines estacions de ferrocarril i metro s’inclouen al CER?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Les situades sota rasant que presenten dificultats d’intervenció.</div><div style=""padding: 5px 0;""><b>B)</b> Les estacions amb túnels inferiors a 400 metres i evacuació directa.</div><div style=""padding: 5px 0;""><b>C)</b> Les estacions a nivell de carrer amb gran afluència d’usuaris.</div><div style=""padding: 5px 0;""><b>D)</b> Les estacions amb més de quatre andanes, encara que siguin obertes.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Les situades sota rasant que presenten dificultats d’intervenció.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La ubicació subterrània i les dificultats operatives són les condicions que justifiquen la inclusió.</div></div>","T23_-_Prevencio_basica_d_incendis","20009"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T23 - Prevenció bàsica d'incendis] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quan s’exigeix columna seca en un establiment industrial?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Quan la superfície en planta supera els 1.000 m².</div><div style=""padding: 5px 0;""><b>B)</b> Quan l’alçada d’evacuació és de 15 metres o superior.</div><div style=""padding: 5px 0;""><b>C)</b> Quan hi ha més de tres plantes sota rasant.</div><div style=""padding: 5px 0;""><b>D)</b> Quan l’alçada d’evacuació supera els 24 metres.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Quan l’alçada d’evacuació és de 15 metres o superior.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El llindar específic per als establiments industrials és una alçada d’evacuació igual o superior a 15 metres.</div></div>","T23_-_Prevencio_basica_d_incendis","19992"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T23 - Prevenció bàsica d'incendis] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina documentació pot justificar les prestacions al foc d’un producte sense marcatge CE?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> El certificat de manteniment de les instal·lacions de protecció activa del recinte.</div><div style=""padding: 5px 0;""><b>B)</b> La fitxa d’ocupació i el càlcul dels recorreguts d’evacuació de l’edifici.</div><div style=""padding: 5px 0;""><b>C)</b> Una declaració del titular que descrigui l’ús previst del producte a l’edifici.</div><div style=""padding: 5px 0;""><b>D)</b> Els assajos i la classificació de reacció o resistència al foc emesos per laboratoris acreditats.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Els assajos i la classificació de reacció o resistència al foc emesos per laboratoris acreditats.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Quan no hi ha marcatge CE, les prestacions s’han de documentar mitjançant assajos i classificacions efectuats amb garanties tècniques.</div></div>","T23_-_Prevencio_basica_d_incendis","20058"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T23 - Prevenció bàsica d'incendis] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quan s’exigeix columna seca en usos residencial habitatge, administratiu, residencial públic, docent, comercial o de pública concurrència?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Quan l’alçada d’evacuació supera els 24 metres.</div><div style=""padding: 5px 0;""><b>B)</b> Quan el recorregut fins a una façana accessible supera els 60 metres.</div><div style=""padding: 5px 0;""><b>C)</b> Quan l’alçada d’evacuació arriba als 15 metres.</div><div style=""padding: 5px 0;""><b>D)</b> Quan l’edifici disposa de més de quatre plantes en total.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Quan l’alçada d’evacuació supera els 24 metres.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> En aquests usos, el criteri d’exigència és superar els 24 metres d’alçada d’evacuació.</div></div>","T23_-_Prevencio_basica_d_incendis","19993"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T23 - Prevenció bàsica d'incendis] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Per què un sector d’incendi diferenciat pot servir com a via de penetració?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Perquè la compartimentació pot mantenir-lo temporalment no afectat i permetre preparar-hi l’accés.</div><div style=""padding: 5px 0;""><b>B)</b> Perquè permet arribar al focus sense travessar cap element de compartimentació.</div><div style=""padding: 5px 0;""><b>C)</b> Perquè substitueix les vies protegides quan el sector té una càrrega de foc elevada.</div><div style=""padding: 5px 0;""><b>D)</b> Perquè garanteix una atmosfera sense fum independentment del sistema de ventilació.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Perquè la compartimentació pot mantenir-lo temporalment no afectat i permetre preparar-hi l’accés.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La separació entre sectors pot conservar una zona relativament segura des d’on els equips organitzen la penetració cap al sector incendiat.</div></div>","T23_-_Prevencio_basica_d_incendis","19921"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T23 - Prevenció bàsica d'incendis] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin resultat es pretén afavorir amb els consells d’autoprotecció en un incendi domèstic?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Reduir els danys personals i materials mitjançant una resposta inicial adequada.</div><div style=""padding: 5px 0;""><b>B)</b> Substituir la intervenció dels serveis d’emergència quan el foc és incipient.</div><div style=""padding: 5px 0;""><b>C)</b> Acreditar el compliment reglamentari de les condicions de l’habitatge.</div><div style=""padding: 5px 0;""><b>D)</b> Evitar totes les causes d’incendi abans que aparegui una situació d’emergència.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Reduir els danys personals i materials mitjançant una resposta inicial adequada.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> L’autoprotecció ajuda a prendre decisions inicials més segures i pot limitar les conseqüències personals i materials abans de l’arribada dels bombers.</div></div>","T23_-_Prevencio_basica_d_incendis","20035"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T23 - Prevenció bàsica d'incendis] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com treballa la ventilació forçada d’un aparcament?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Per sobrepressió, amb les obertures d’extracció tancades durant l’incendi.</div><div style=""padding: 5px 0;""><b>B)</b> Per sectorització, mitjançant elements EI que substitueixen l’extracció.</div><div style=""padding: 5px 0;""><b>C)</b> Per depressió, amb ventiladors d’extracció i admissió d’aire natural o mecànica.</div><div style=""padding: 5px 0;""><b>D)</b> Per flotació, sense ventiladors ni aportació d’aire exterior.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Per depressió, amb ventiladors d’extracció i admissió d’aire natural o mecànica.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La depressió afavoreix que els fums siguin conduïts cap als punts d’extracció, mentre entra aire de reposició.</div></div>","T23_-_Prevencio_basica_d_incendis","19969"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T23 - Prevenció bàsica d'incendis] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina característica defineix una escala protegida?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> És un recorregut vertical continu que forma un recinte segur durant un temps determinat.</div><div style=""padding: 5px 0;""><b>B)</b> És una escala oberta que comunica plantes sense compartimentació pròpia.</div><div style=""padding: 5px 0;""><b>C)</b> És una escala exterior reservada als equips de bombers.</div><div style=""padding: 5px 0;""><b>D)</b> És una escala equipada obligatòriament amb extinció automàtica a cada replà.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) És un recorregut vertical continu que forma un recinte segur durant un temps determinat.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> L’escala protegida manté unes condicions de seguretat reforçades des del seu inici fins al desembarcament a la planta de sortida.</div></div>","T23_-_Prevencio_basica_d_incendis","20051"
