"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T15 - Construcció] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina evolució dels forjats del sistema tradicional és correcta?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Els edificis antics solen tenir xapa col·laborant, i els més recents poden tenir revoltons de fusta.</div><div style=""padding: 5px 0;""><b>B)</b> Els edificis antics solen tenir bigues de fusta amb revoltó ceràmic, i els més recents poden tenir biguetes metàl·liques.</div><div style=""padding: 5px 0;""><b>C)</b> Els edificis antics solen tenir lloses posttesades, i els més recents poden tenir voltes de pedra massissa.</div><div style=""padding: 5px 0;""><b>D)</b> Els edificis antics solen tenir plaques alveolars, i els més recents poden tenir bigues de tàpia.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Els edificis antics solen tenir bigues de fusta amb revoltó ceràmic, i els més recents poden tenir biguetes metàl·liques.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La tipologia del forjat aporta informació sobre l’època constructiva i sobre els riscos associats als materials presents.</div></div>","T15_-_Construccio","18190"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T15 - Construcció] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin conjunt està format íntegrament per elements no estructurals?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Fonaments, pilars i jàsseres.</div><div style=""padding: 5px 0;""><b>B)</b> Pantalles, bigues i lloses.</div><div style=""padding: 5px 0;""><b>C)</b> Murs de càrrega, forjats i sabates.</div><div style=""padding: 5px 0;""><b>D)</b> Tancaments, divisions interiors i elements auxiliars.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Tancaments, divisions interiors i elements auxiliars.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Aquests elements no formen part principal de l’esquelet resistent, encara que poden generar riscos operatius durant una emergència.</div></div>","T15_-_Construccio","18131"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T15 - Construcció] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què han d’evitar els fonaments, a més de transmetre les càrregues al terreny?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Assentaments diferencials, esquerdes i col·lapses associats.</div><div style=""padding: 5px 0;""><b>B)</b> La dilatació de les bigues metàl·liques dels forjats.</div><div style=""padding: 5px 0;""><b>C)</b> La pèrdua d’impermeabilitat dels tancaments exteriors.</div><div style=""padding: 5px 0;""><b>D)</b> La propagació del foc pels falsos sostres i els envans.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Assentaments diferencials, esquerdes i col·lapses associats.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Una fonamentació adequada distribueix les càrregues de manera compatible amb el terreny i limita moviments desiguals de l’edifici.</div></div>","T15_-_Construccio","18134"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T15 - Construcció] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com respon el sistema tradicional a la pèrdua d’una part portant?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La redistribueix amb facilitat perquè els tancaments estan separats de l’esquelet resistent.</div><div style=""padding: 5px 0;""><b>B)</b> La transfereix als envans lleugers, que assumeixen temporalment les càrregues del forjat.</div><div style=""padding: 5px 0;""><b>C)</b> La limita al tram afectat perquè cada mur treballa sense continuïtat amb la resta.</div><div style=""padding: 5px 0;""><b>D)</b> La tolera mal perquè els murs gruixuts formen part directa de l’estructura.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) La tolera mal perquè els murs gruixuts formen part directa de l’estructura.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La continuïtat i la trava entre murs són essencials; una obertura o degradació pot alterar l’estabilitat global.</div></div>","T15_-_Construccio","18199"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T15 - Construcció] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com pot afectar l’escalfament un tirant o un cable que treballa a tracció?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Pot allargar-lo i fer-li perdre tensió i estabilitat.</div><div style=""padding: 5px 0;""><b>B)</b> Pot escurçar-lo i augmentar la compressió que transmet als recolzaments.</div><div style=""padding: 5px 0;""><b>C)</b> Pot provocar-ne el vinclament sense modificar la tensió axial.</div><div style=""padding: 5px 0;""><b>D)</b> Pot convertir l’esforç de tracció en tallant a la zona central.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Pot allargar-lo i fer-li perdre tensió i estabilitat.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Els elements sotmesos a tracció poden dilatar-se amb la calor i deixar de complir correctament la funció d’estabilització.</div></div>","T15_-_Construccio","18069"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T15 - Construcció] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina descripció correspon als materials ceràmics?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Materials flexibles que impedeixen l’aigua.</div><div style=""padding: 5px 0;""><b>B)</b> Materials cuits, com el maó o la teula.</div><div style=""padding: 5px 0;""><b>C)</b> Materials conglomerants barrejats amb àrids.</div><div style=""padding: 5px 0;""><b>D)</b> Materials metàl·lics formats en perfils.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Materials cuits, com el maó o la teula.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La ceràmica inclou materials cuits, com els maons i les teules, utilitzats en elements estructurals, tancaments i acabats.</div></div>","T15_-_Construccio","18087"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T15 - Construcció] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina combinació de propietats correspon al ciment?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Retracció, resistència mitjana i flexibilitat alta.</div><div style=""padding: 5px 0;""><b>B)</b> Expansivitat, resistència baixa i flexibilitat baixa.</div><div style=""padding: 5px 0;""><b>C)</b> Neutralitat, resistència mitjana i flexibilitat alta.</div><div style=""padding: 5px 0;""><b>D)</b> Retracció, resistència alta i flexibilitat baixa.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Retracció, resistència alta i flexibilitat baixa.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El ciment presenta retracció i combina una resistència alta amb una flexibilitat baixa.</div></div>","T15_-_Construccio","18100"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T15 - Construcció] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin paper tenen les reaccions en el camí de transmissió de càrregues?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Concentren les càrregues als sostres i eviten que arribin als elements verticals.</div><div style=""padding: 5px 0;""><b>B)</b> Permeten transferir les càrregues entre elements fins als fonaments i el terreny.</div><div style=""padding: 5px 0;""><b>C)</b> Transformen les accions variables en càrregues permanents abans d’arribar als suports.</div><div style=""padding: 5px 0;""><b>D)</b> Substitueixen els esforços interns i impedeixen que els materials es deformin.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) Permeten transferir les càrregues entre elements fins als fonaments i el terreny.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> Les reaccions fan possible que una càrrega passi d’un element al següent fins a descarregar-se al terreny.</div></div>","T15_-_Construccio","18052"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T15 - Construcció] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina descripció correspon al sistema de pilars i forjats?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> És un sistema industrial estès des dels anys 1990 i format per pòrtics prefabricats de formigó.</div><div style=""padding: 5px 0;""><b>B)</b> És el sistema més utilitzat en l’edificació moderna des dels anys 1970 i té tancaments sense funció estructural.</div><div style=""padding: 5px 0;""><b>C)</b> És un sistema tradicional anterior a l’època romana i integra els tancaments com a murs portants.</div><div style=""padding: 5px 0;""><b>D)</b> És un sistema de grans llums basat en jàsseres corbades de fusta o d’acer.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: B</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">B) És el sistema més utilitzat en l’edificació moderna des dels anys 1970 i té tancaments sense funció estructural.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La separació entre esquelet resistent i tancaments és una característica pròpia de gran part de l’edificació moderna.</div></div>","T15_-_Construccio","18205"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T15 - Construcció] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina conseqüència pot tenir la degradació tèrmica d’un pilar durant un incendi?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Una disminució de les reaccions que descarrega els fonaments sense afectar altres nivells.</div><div style=""padding: 5px 0;""><b>B)</b> Una dilatació que reforça temporalment la unió entre el pilar i el forjat.</div><div style=""padding: 5px 0;""><b>C)</b> Una redistribució de càrregues limitada als revestiments de la planta afectada.</div><div style=""padding: 5px 0;""><b>D)</b> Una pèrdua ràpida de capacitat portant amb risc de col·lapse.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Una pèrdua ràpida de capacitat portant amb risc de col·lapse.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El pilar concentra càrregues de diversos nivells; la pèrdua de resistència del formigó o de l’acer pot comprometre ràpidament l’estructura.</div></div>","T15_-_Construccio","18142"
