"Front","Back","Tag","ID"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T27 - Intervenció bàsica en riscos NRBQ] Pregunta 1</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com es considera la seguretat en una intervenció NRBQ?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Com una mesura logística de suport.</div><div style=""padding: 5px 0;""><b>B)</b> Com una responsabilitat externa a l’operatiu.</div><div style=""padding: 5px 0;""><b>C)</b> Com una fase posterior al control de la font.</div><div style=""padding: 5px 0;""><b>D)</b> És el fonament de tota l’operativa.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) És el fonament de tota l’operativa.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La seguretat condiciona la protecció de persones, el control de l’escenari i la contaminació. En NRBQ, una decisió operativa només és útil si no augmenta l’exposició dels intervinents ni amplia la contaminació.</div></div>","T27_-_Intervencio_basica_en_riscos_NRBQ","16540"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T27 - Intervenció bàsica en riscos NRBQ] Pregunta 2</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Per què el risc químic destaca a Catalunya?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Per la presència d’indústria química i l’elevat transport de matèries perilloses.</div><div style=""padding: 5px 0;""><b>B)</b> Per l’augment d’accidents domèstics amb instal·lacions elèctriques.</div><div style=""padding: 5px 0;""><b>C)</b> Per la concentració de reactors nuclears i fonts mèdiques radioactives.</div><div style=""padding: 5px 0;""><b>D)</b> Per la presència generalitzada de laboratoris biològics d’alta seguretat.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Per la presència d’indústria química i l’elevat transport de matèries perilloses.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La indústria química i el volum de transport fan que sigui el risc més freqüent i perillós per als serveis d’emergència. La classificació ajuda a anticipar si el problema neix de la manipulació o del transport i quins recursos poden intervenir.</div></div>","T27_-_Intervencio_basica_en_riscos_NRBQ","15571"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T27 - Intervenció bàsica en riscos NRBQ] Pregunta 3</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què caracteritza la zona calenta?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> És la franja logística entre dues zones segures.</div><div style=""padding: 5px 0;""><b>B)</b> És l’espai de coordinació amb altres cossos.</div><div style=""padding: 5px 0;""><b>C)</b> És una àrea lliure de contaminació.</div><div style=""padding: 5px 0;""><b>D)</b> Conté la font de contaminació o la dispersió activa.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Conté la font de contaminació o la dispersió activa.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La zona calenta concentra el perill i les maniobres directes. Per això l’accés és limitat, la protecció és completa i cada entrada ha de respondre a una tasca concreta.</div></div>","T27_-_Intervencio_basica_en_riscos_NRBQ","16543"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T27 - Intervenció bàsica en riscos NRBQ] Pregunta 4</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Com es pot propagar un vessament líquid?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Per contacte o aerosols entre persones.</div><div style=""padding: 5px 0;""><b>B)</b> A favor del vent en forma de camp de radiació.</div><div style=""padding: 5px 0;""><b>C)</b> Per clavegueres o pendent avall.</div><div style=""padding: 5px 0;""><b>D)</b> Mitjançant la projecció de partícules ionitzants.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) Per clavegueres o pendent avall.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La gravetat i les xarxes de drenatge poden conduir el líquid cap a altres zones. Analitzar-lo permet preveure quines zones quedaran afectades i amb quina rapidesa cal actuar.</div></div>","T27_-_Intervencio_basica_en_riscos_NRBQ","15631"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T27 - Intervenció bàsica en riscos NRBQ] Pregunta 5</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin objectiu té la ventilació en una intervenció NRBQ?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Reduir la pressió interior d’un dipòsit.</div><div style=""padding: 5px 0;""><b>B)</b> Limitar la dispersió d’un núvol a l’exterior.</div><div style=""padding: 5px 0;""><b>C)</b> Cobrir un vessament per reduir-ne els vapors.</div><div style=""padding: 5px 0;""><b>D)</b> Eliminar gasos o vapors contaminants.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Eliminar gasos o vapors contaminants.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La ventilació renova l’atmosfera i redueix la concentració de gasos o vapors. La renovació de l’aire és útil en recintes tancats, sempre que el flux no arrossegui els vapors cap a zones ocupades.</div></div>","T27_-_Intervencio_basica_en_riscos_NRBQ","16525"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T27 - Intervenció bàsica en riscos NRBQ] Pregunta 6</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Què indica el codi de perill ADR 539?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Peròxid orgànic inflamable.</div><div style=""padding: 5px 0;""><b>B)</b> Peròxid orgànic transportat en calent.</div><div style=""padding: 5px 0;""><b>C)</b> Líquid pirofòric inflamable.</div><div style=""padding: 5px 0;""><b>D)</b> Peròxid inorgànic comburent.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) Peròxid orgànic inflamable.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> El codi 539 associa el caràcter de peròxid orgànic amb el risc d’inflamabilitat del producte.</div></div>","T27_-_Intervencio_basica_en_riscos_NRBQ","16610"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T27 - Intervenció bàsica en riscos NRBQ] Pregunta 7</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">En quin tipus de núvol és especialment útil l’abatiment?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> En núvols tòxics volàtils.</div><div style=""padding: 5px 0;""><b>B)</b> En camps de radiació sense dispersió de gas.</div><div style=""padding: 5px 0;""><b>C)</b> En vessaments líquids poc volàtils.</div><div style=""padding: 5px 0;""><b>D)</b> En dipòsits de partícules sòlides.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: A</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">A) En núvols tòxics volàtils.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La tècnica és especialment aplicable a gasos solubles en aigua, com l’amoníac. L’aigua polvoritzada crea una barrera, però la seva eficàcia depèn del producte, del vent i de la solubilitat del gas.</div></div>","T27_-_Intervencio_basica_en_riscos_NRBQ","15676"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T27 - Intervenció bàsica en riscos NRBQ] Pregunta 8</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quin fet va avançar el desplegament operatiu del GRIT?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> L’accident nuclear de Fukushima de l’any 2011.</div><div style=""padding: 5px 0;""><b>B)</b> L’augment del transport de mercaderies perilloses.</div><div style=""padding: 5px 0;""><b>C)</b> La pandèmia de la COVID-19 iniciada el febrer de 2020.</div><div style=""padding: 5px 0;""><b>D)</b> L’accident químic d’IQOXE del gener de 2020.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) La pandèmia de la COVID-19 iniciada el febrer de 2020.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La irrupció de la COVID-19 va obligar a avançar el desplegament i va donar al GRIT un paper destacat. La pandèmia va evidenciar que aquest suport podia influir directament en la protecció i en el lideratge de les actuacions.</div></div>","T27_-_Intervencio_basica_en_riscos_NRBQ","15556"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T27 - Intervenció bàsica en riscos NRBQ] Pregunta 9</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quina classe ADR identifica les mercaderies radioactives?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> La classe 8.</div><div style=""padding: 5px 0;""><b>B)</b> La classe 6.2.</div><div style=""padding: 5px 0;""><b>C)</b> La classe 7.</div><div style=""padding: 5px 0;""><b>D)</b> La classe 5.1.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: C</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">C) La classe 7.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> En el transport de mercaderies perilloses, els materials radioactius pertanyen a la classe 7. A diferència del risc nuclear, pot existir sense fissió i aparèixer en medicina, indústria, recerca, obra o transport.</div></div>","T27_-_Intervencio_basica_en_riscos_NRBQ","15560"
"<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-size: 11px; color: #888; margin-bottom: 6px;"">[T27 - Intervenció bàsica en riscos NRBQ] Pregunta 10</div><div style=""font-weight: bold; font-size: 16px; margin-bottom: 14px; line-height: 1.4;"">Quan un incident pot considerar-se de dimensió NRBQ?</div><div style=""font-size: 14px; line-height: 1.6;""><div style=""padding: 5px 0;""><b>A)</b> Quan els danys es limiten al punt d’origen i es controlen amb mitjans ordinaris.</div><div style=""padding: 5px 0;""><b>B)</b> Quan afecta un equip concret i obliga a aturar temporalment l’activitat.</div><div style=""padding: 5px 0;""><b>C)</b> Quan el producte queda confinat i no genera exposició exterior.</div><div style=""padding: 5px 0;""><b>D)</b> Quan pot afectar àrees àmplies i causar conseqüències greus.</div></div></div>","<div style=""text-align: left; font-family: -apple-system, sans-serif;""><div style=""font-weight: bold; font-size: 16px; color: #10b981; margin-bottom: 8px;"">✓ Resposta Correcta: D</div><div style=""font-size: 14px; margin-bottom: 12px; padding: 10px; background: rgba(16,185,129,0.1); border-radius: 6px; border-left: 4px solid #10b981;"">D) Quan pot afectar àrees àmplies i causar conseqüències greus.</div><hr style=""border: 0; border-top: 1px solid #ddd; margin: 12px 0;""><div style=""font-size: 13px; color: #444; line-height: 1.4;""><b style=""color: #111;"">Explicació:</b> La dimensió NRBQ apareix quan els efectes potencials poden estendre’s àmpliament i tenir conseqüències greus. Aquesta classificació no és només terminològica: condiciona la detecció, la protecció i la coordinació necessàries.</div></div>","T27_-_Intervencio_basica_en_riscos_NRBQ","15552"
